case_id,year,month,age,gender,division,relation_to_accused,mode_of_abduction,outcome
C0041,2025,7,11,Female,Dhaka,Family friend/acquaintance,Taken from home,Rescued/Recovered
C0042,2026,5,11,Female,Sylhet,Stranger,Lured/deceived,Still missing
C0043,2024,7,7,Female,Rajshahi,Domestic worker/employer,Ransom abduction,Rescued/Recovered
C0044,2026,5,10,Female,Rajshahi,Stranger,Taken from home,Rescued/Recovered
C0045,2026,12,9,Male,Rajshahi,Relative,Taken from home,Rescued/Recovered
C0046,2026,6,10,Female,Khulna,Neighbor,Taken from home,Rescued/Recovered
C0047,2025,7,12,Male,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0048,2026,1,10,Female,Dhaka,Relative,Taken from public place,Rescued/Recovered
C0049,2025,6,11,Female,Chattogram,Relative,Taken from home,Deceased
C0050,2026,10,9,Male,Dhaka,Relative,Lured/deceived,Rescued/Recovered
C0051,2024,7,10,Female,Sylhet,Family friend/acquaintance,Trafficking suspected,Rescued/Recovered
C0052,2025,6,11,Female,Chattogram,Family friend/acquaintance,Ransom abduction,Still missing
C0053,2025,11,4,Male,Khulna,Stranger,Taken from public place,Still missing
C0054,2025,10,8,Female,Sylhet,Neighbor,Ransom abduction,Rescued/Recovered
C0055,2025,5,7,Female,Chattogram,Neighbor,Trafficking suspected,Rescued/Recovered
C0056,2026,6,7,Male,Rangpur,Stranger,Taken from home,Still missing
C0057,2025,6,8,Female,Chattogram,Stranger,Taken from public place,Still missing
C0058,2026,7,14,Female,Sylhet,Domestic worker/employer,Taken from public place,Rescued/Recovered
C0059,2024,6,6,Female,Dhaka,Stranger,Lured/deceived,Deceased
C0060,2026,4,12,Female,Chattogram,Stranger,Lured/deceived,Rescued/Recovered
C0061,2026,11,4,Female,Chattogram,Relative,Lured/deceived,Still missing
C0062,2025,11,8,Male,Dhaka,Relative,Taken from public place,Rescued/Recovered
C0063,2026,10,10,Female,Dhaka,Neighbor,Ransom abduction,Rescued/Recovered
C0064,2026,12,11,Male,Rangpur,Family friend/acquaintance,Ransom abduction,Rescued/Recovered
C0065,2026,8,11,Female,Rajshahi,Domestic worker/employer,Lured/deceived,Rescued/Recovered
C0066,2025,8,12,Female,Dhaka,Relative,Lured/deceived,Rescued/Recovered
C0067,2025,8,8,Female,Dhaka,Family friend/acquaintance,Taken from home,Rescued/Recovered
C0068,2026,6,8,Male,Dhaka,Neighbor,Taken from public place,Rescued/Recovered
C0069,2025,6,12,Female,Dhaka,Neighbor,Trafficking suspected,Rescued/Recovered
C0070,2026,4,8,Female,Rangpur,Neighbor,Ransom abduction,Still missing
C0071,2025,7,5,Male,Chattogram,Neighbor,Trafficking suspected,Still missing
C0072,2026,5,5,Female,Dhaka,Domestic worker/employer,Ransom abduction,Rescued/Recovered
C0073,2024,5,6,Female,Chattogram,Relative,Trafficking suspected,Rescued/Recovered
C0074,2024,6,11,Male,Dhaka,Stranger,Taken from home,Rescued/Recovered
C0075,2026,6,9,Female,Dhaka,Family friend/acquaintance,Lured/deceived,Deceased
C0076,2026,4,11,Female,Khulna,Neighbor,Lured/deceived,Rescued/Recovered
C0077,2026,9,8,Female,Rajshahi,Neighbor,Taken from home,Rescued/Recovered
C0078,2026,10,10,Female,Mymensingh,Stranger,Lured/deceived,Deceased
C0079,2025,3,11,Female,Rajshahi,Neighbor,Lured/deceived,Deceased
C0080,2025,1,8,Male,Chattogram,Domestic worker/employer,Trafficking suspected,Rescued/Recovered
C0081,2024,6,10,Female,Khulna,Neighbor,Lured/deceived,Rescued/Recovered
C0082,2025,9,7,Male,Rangpur,Family friend/acquaintance,Trafficking suspected,Rescued/Recovered
C0083,2024,10,8,Male,Khulna,Stranger,Ransom abduction,Still missing
C0084,2026,3,8,Female,Mymensingh,Neighbor,Taken from public place,Rescued/Recovered
C0085,2024,9,5,Male,Barishal,Neighbor,Taken from public place,Rescued/Recovered
C0086,2024,2,11,Male,Sylhet,Domestic worker/employer,Taken from home,Rescued/Recovered
C0087,2024,6,7,Male,Dhaka,Neighbor,Taken from public place,Rescued/Recovered
C0088,2024,12,9,Female,Khulna,Relative,Lured/deceived,Rescued/Recovered
C0089,2024,4,11,Female,Chattogram,Relative,Trafficking suspected,Rescued/Recovered
C0090,2026,3,10,Female,Chattogram,Neighbor,Lured/deceived,Still missing
C0091,2025,6,11,Female,Rajshahi,Stranger,Lured/deceived,Still missing
C0092,2026,7,9,Female,Mymensingh,Stranger,Taken from public place,Rescued/Recovered
C0093,2026,11,8,Female,Mymensingh,Relative,Taken from public place,Still missing
C0094,2026,12,9,Female,Dhaka,Stranger,Taken from home,Rescued/Recovered
C0095,2026,2,4,Male,Khulna,Neighbor,Taken from public place,Rescued/Recovered
C0096,2025,3,4,Female,Khulna,Neighbor,Lured/deceived,Rescued/Recovered
C0097,2024,9,5,Female,Dhaka,Family friend/acquaintance,Taken from public place,Still missing
C0098,2025,5,6,Female,Dhaka,Domestic worker/employer,Lured/deceived,Still missing
C0099,2026,10,10,Female,Dhaka,Neighbor,Lured/deceived,Deceased
C0100,2026,7,6,Female,Barishal,Neighbor,Lured/deceived,Still missing
C0101,2025,2,8,Female,Chattogram,Relative,Taken from home,Deceased
C0102,2025,10,13,Female,Mymensingh,Stranger,Taken from home,Rescued/Recovered
C0103,2026,3,8,Female,Chattogram,Neighbor,Taken from home,Deceased
C0104,2026,6,11,Female,Mymensingh,Relative,Lured/deceived,Rescued/Recovered
C0105,2025,6,6,Female,Chattogram,Stranger,Lured/deceived,Rescued/Recovered
C0106,2026,6,8,Female,Barishal,Relative,Taken from public place,Rescued/Recovered
C0107,2026,7,6,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0108,2026,7,8,Female,Chattogram,Neighbor,Taken from public place,Rescued/Recovered
C0109,2024,12,12,Female,Barishal,Relative,Trafficking suspected,Rescued/Recovered
C0110,2024,12,3,Female,Rangpur,Relative,Taken from home,Rescued/Recovered
C0111,2026,6,10,Male,Barishal,Stranger,Trafficking suspected,Rescued/Recovered
C0112,2025,2,10,Male,Dhaka,Family friend/acquaintance,Lured/deceived,Still missing
C0113,2025,8,7,Male,Dhaka,Family friend/acquaintance,Lured/deceived,Rescued/Recovered
C0114,2025,12,4,Female,Dhaka,Domestic worker/employer,Taken from public place,Rescued/Recovered
C0115,2024,5,9,Female,Dhaka,Relative,Ransom abduction,Rescued/Recovered
C0116,2026,6,7,Female,Rajshahi,Relative,Ransom abduction,Rescued/Recovered
C0117,2024,6,10,Male,Khulna,Domestic worker/employer,Lured/deceived,Rescued/Recovered
C0118,2026,1,9,Male,Barishal,Neighbor,Ransom abduction,Still missing
C0119,2025,7,14,Male,Sylhet,Stranger,Taken from home,Rescued/Recovered
C0120,2025,6,8,Male,Khulna,Stranger,Lured/deceived,Still missing
C0121,2024,9,6,Female,Barishal,Neighbor,Lured/deceived,Still missing
C0122,2026,10,10,Male,Dhaka,Relative,Trafficking suspected,Rescued/Recovered
C0123,2024,9,10,Male,Dhaka,Neighbor,Lured/deceived,Still missing
C0124,2024,6,13,Female,Rajshahi,Neighbor,Ransom abduction,Rescued/Recovered
C0125,2026,5,12,Male,Sylhet,Relative,Taken from public place,Still missing
C0126,2025,8,10,Female,Dhaka,Neighbor,Taken from public place,Still missing
C0127,2025,9,14,Male,Chattogram,Stranger,Taken from public place,Still missing
C0128,2024,6,5,Male,Rajshahi,Domestic worker/employer,Ransom abduction,Rescued/Recovered
C0129,2026,11,7,Female,Dhaka,Stranger,Lured/deceived,Still missing
C0130,2025,3,6,Male,Chattogram,Neighbor,Lured/deceived,Deceased
C0131,2024,10,8,Female,Rangpur,Neighbor,Taken from public place,Rescued/Recovered
C0132,2025,2,5,Male,Rajshahi,Neighbor,Taken from home,Still missing
C0133,2024,3,11,Male,Dhaka,Neighbor,Lured/deceived,Still missing
C0134,2025,6,8,Female,Sylhet,Domestic worker/employer,Lured/deceived,Rescued/Recovered
C0135,2024,2,4,Male,Dhaka,Relative,Taken from home,Deceased
C0136,2024,1,6,Female,Sylhet,Neighbor,Lured/deceived,Rescued/Recovered
C0137,2025,1,10,Female,Dhaka,Stranger,Lured/deceived,Rescued/Recovered
C0138,2026,6,12,Female,Chattogram,Relative,Trafficking suspected,Rescued/Recovered
C0139,2024,9,15,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0140,2024,1,17,Female,Dhaka,Neighbor,Trafficking suspected,Still missing
C0141,2026,7,10,Female,Sylhet,Family friend/acquaintance,Trafficking suspected,Rescued/Recovered
C0142,2026,9,6,Female,Dhaka,Stranger,Lured/deceived,Rescued/Recovered
C0143,2026,3,2,Female,Dhaka,Neighbor,Taken from public place,Rescued/Recovered
C0144,2024,3,10,Male,Dhaka,Domestic worker/employer,Taken from public place,Rescued/Recovered
C0145,2025,10,6,Female,Khulna,Stranger,Taken from public place,Still missing
C0146,2024,9,8,Male,Barishal,Stranger,Lured/deceived,Still missing
C0147,2024,6,7,Female,Mymensingh,Neighbor,Lured/deceived,Rescued/Recovered
C0148,2025,9,9,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0149,2025,2,12,Female,Chattogram,Stranger,Taken from public place,Rescued/Recovered
C0150,2025,6,10,Female,Dhaka,Relative,Trafficking suspected,Rescued/Recovered
C0151,2026,8,8,Female,Chattogram,Family friend/acquaintance,Taken from public place,Rescued/Recovered
C0152,2025,5,6,Female,Mymensingh,Stranger,Taken from public place,Rescued/Recovered
C0153,2025,8,4,Female,Khulna,Neighbor,Trafficking suspected,Rescued/Recovered
C0154,2026,6,7,Female,Chattogram,Stranger,Taken from public place,Rescued/Recovered
C0155,2026,8,9,Female,Dhaka,Domestic worker/employer,Lured/deceived,Rescued/Recovered
C0156,2025,6,15,Female,Rangpur,Stranger,Ransom abduction,Rescued/Recovered
C0157,2025,6,9,Male,Chattogram,Relative,Taken from home,Still missing
C0158,2025,4,12,Female,Dhaka,Stranger,Lured/deceived,Still missing
C0159,2024,4,7,Male,Dhaka,Family friend/acquaintance,Taken from home,Rescued/Recovered
C0160,2026,8,5,Male,Dhaka,Stranger,Trafficking suspected,Still missing
C0161,2024,2,6,Male,Dhaka,Stranger,Lured/deceived,Still missing
C0162,2025,2,7,Male,Dhaka,Stranger,Taken from home,Rescued/Recovered
C0163,2025,3,16,Female,Chattogram,Neighbor,Lured/deceived,Rescued/Recovered
C0164,2024,3,6,Female,Rajshahi,Neighbor,Lured/deceived,Rescued/Recovered
C0165,2024,9,12,Female,Dhaka,Neighbor,Lured/deceived,Still missing
C0166,2025,6,6,Male,Chattogram,Relative,Taken from public place,Rescued/Recovered
C0167,2026,12,12,Female,Mymensingh,Relative,Ransom abduction,Rescued/Recovered
C0168,2026,3,10,Female,Khulna,Family friend/acquaintance,Lured/deceived,Rescued/Recovered
C0169,2025,7,8,Male,Chattogram,Relative,Lured/deceived,Rescued/Recovered
C0170,2024,6,9,Female,Dhaka,Stranger,Lured/deceived,Deceased
C0171,2026,6,7,Female,Rangpur,Domestic worker/employer,Lured/deceived,Rescued/Recovered
C0172,2024,10,10,Male,Dhaka,Neighbor,Taken from public place,Still missing
C0173,2025,12,8,Female,Dhaka,Stranger,Taken from public place,Deceased
C0174,2026,10,5,Female,Rangpur,Family friend/acquaintance,Taken from public place,Still missing
C0175,2025,4,5,Male,Chattogram,Family friend/acquaintance,Taken from home,Rescued/Recovered
C0176,2025,4,10,Female,Khulna,Neighbor,Taken from public place,Still missing
C0177,2024,7,14,Female,Chattogram,Stranger,Lured/deceived,Rescued/Recovered
C0178,2024,5,10,Female,Rajshahi,Domestic worker/employer,Lured/deceived,Rescued/Recovered
C0179,2025,8,9,Male,Dhaka,Stranger,Trafficking suspected,Still missing
C0180,2026,6,10,Female,Dhaka,Domestic worker/employer,Ransom abduction,Still missing
C0181,2024,6,13,Male,Dhaka,Domestic worker/employer,Trafficking suspected,Rescued/Recovered
C0182,2025,9,10,Male,Dhaka,Relative,Trafficking suspected,Rescued/Recovered
C0183,2026,8,8,Female,Sylhet,Family friend/acquaintance,Taken from public place,Still missing
C0184,2024,1,13,Female,Dhaka,Relative,Trafficking suspected,Still missing
C0185,2024,1,10,Female,Chattogram,Domestic worker/employer,Taken from home,Rescued/Recovered
C0186,2025,6,14,Male,Barishal,Neighbor,Lured/deceived,Still missing
C0187,2026,6,10,Female,Barishal,Relative,Lured/deceived,Rescued/Recovered
C0188,2025,5,5,Female,Chattogram,Stranger,Lured/deceived,Rescued/Recovered
C0189,2026,6,5,Female,Chattogram,Neighbor,Lured/deceived,Rescued/Recovered
C0190,2026,8,14,Male,Mymensingh,Stranger,Taken from home,Deceased
C0191,2026,9,15,Female,Rajshahi,Relative,Taken from public place,Rescued/Recovered
C0192,2026,6,8,Male,Barishal,Domestic worker/employer,Ransom abduction,Rescued/Recovered
C0193,2026,6,8,Female,Rangpur,Stranger,Taken from public place,Rescued/Recovered
C0194,2026,5,14,Male,Barishal,Relative,Lured/deceived,Still missing
C0195,2026,6,5,Female,Dhaka,Stranger,Ransom abduction,Rescued/Recovered
C0196,2026,5,6,Female,Chattogram,Relative,Taken from home,Rescued/Recovered
C0197,2026,6,11,Male,Dhaka,Family friend/acquaintance,Lured/deceived,Deceased
C0198,2026,7,8,Male,Rajshahi,Family friend/acquaintance,Lured/deceived,Rescued/Recovered
C0199,2025,2,9,Female,Mymensingh,Stranger,Taken from home,Rescued/Recovered
C0200,2026,1,8,Female,Chattogram,Neighbor,Lured/deceived,Rescued/Recovered
C0201,2025,4,10,Female,Chattogram,Neighbor,Ransom abduction,Still missing
C0202,2026,11,14,Female,Dhaka,Stranger,Ransom abduction,Rescued/Recovered
C0203,2025,7,9,Female,Mymensingh,Family friend/acquaintance,Taken from public place,Rescued/Recovered
C0204,2026,3,11,Male,Dhaka,Relative,Lured/deceived,Rescued/Recovered
C0205,2026,11,2,Female,Dhaka,Neighbor,Ransom abduction,Still missing
C0206,2026,6,9,Male,Dhaka,Relative,Taken from public place,Still missing
C0207,2024,6,6,Female,Dhaka,Stranger,Lured/deceived,Rescued/Recovered
C0208,2026,11,5,Female,Chattogram,Neighbor,Taken from public place,Rescued/Recovered
C0209,2026,1,6,Male,Chattogram,Relative,Taken from home,Still missing
C0210,2026,4,8,Female,Dhaka,Domestic worker/employer,Taken from home,Rescued/Recovered
C0211,2026,6,12,Male,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0212,2025,4,5,Female,Dhaka,Stranger,Taken from home,Rescued/Recovered
C0213,2025,7,9,Male,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0214,2024,4,7,Male,Dhaka,Stranger,Lured/deceived,Rescued/Recovered
C0215,2026,2,8,Male,Khulna,Stranger,Lured/deceived,Rescued/Recovered
C0216,2025,4,12,Female,Dhaka,Stranger,Trafficking suspected,Rescued/Recovered
C0217,2026,6,11,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0218,2026,3,13,Female,Dhaka,Family friend/acquaintance,Taken from home,Still missing
C0219,2025,3,9,Female,Chattogram,Stranger,Taken from home,Rescued/Recovered
C0220,2024,10,7,Female,Dhaka,Neighbor,Ransom abduction,Rescued/Recovered
C0221,2024,5,8,Female,Dhaka,Neighbor,Taken from public place,Still missing
C0222,2026,6,10,Female,Sylhet,Neighbor,Trafficking suspected,Rescued/Recovered
C0223,2025,1,10,Female,Dhaka,Domestic worker/employer,Lured/deceived,Still missing
C0224,2024,6,6,Female,Chattogram,Stranger,Lured/deceived,Rescued/Recovered
C0225,2026,5,9,Female,Chattogram,Family friend/acquaintance,Taken from public place,Still missing
C0226,2025,7,10,Female,Dhaka,Stranger,Taken from home,Rescued/Recovered
C0227,2026,4,17,Male,Chattogram,Family friend/acquaintance,Ransom abduction,Rescued/Recovered
C0228,2025,10,15,Female,Barishal,Relative,Ransom abduction,Rescued/Recovered
C0229,2024,11,6,Female,Sylhet,Relative,Taken from home,Rescued/Recovered
C0230,2024,2,8,Female,Dhaka,Family friend/acquaintance,Trafficking suspected,Rescued/Recovered
C0231,2025,2,4,Male,Dhaka,Neighbor,Taken from public place,Still missing
C0232,2025,2,7,Female,Dhaka,Stranger,Lured/deceived,Still missing
C0233,2026,7,10,Female,Chattogram,Stranger,Taken from home,Rescued/Recovered
C0234,2025,3,13,Male,Rajshahi,Relative,Lured/deceived,Still missing
C0235,2025,10,7,Female,Dhaka,Family friend/acquaintance,Ransom abduction,Still missing
C0236,2025,8,7,Male,Dhaka,Neighbor,Lured/deceived,Still missing
C0237,2025,9,2,Male,Rangpur,Domestic worker/employer,Lured/deceived,Still missing
C0238,2026,6,8,Female,Dhaka,Domestic worker/employer,Taken from public place,Rescued/Recovered
C0239,2024,12,6,Female,Chattogram,Domestic worker/employer,Lured/deceived,Rescued/Recovered
C0240,2026,1,7,Male,Khulna,Relative,Lured/deceived,Rescued/Recovered
C0241,2025,6,6,Male,Dhaka,Neighbor,Taken from public place,Deceased
C0242,2024,5,9,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0243,2024,11,3,Female,Dhaka,Neighbor,Taken from home,Rescued/Recovered
C0244,2024,6,4,Female,Rangpur,Neighbor,Taken from home,Rescued/Recovered
C0245,2026,9,16,Female,Dhaka,Neighbor,Lured/deceived,Deceased
C0246,2025,3,5,Male,Dhaka,Domestic worker/employer,Lured/deceived,Rescued/Recovered
C0247,2025,12,5,Female,Dhaka,Neighbor,Ransom abduction,Rescued/Recovered
C0248,2026,6,15,Male,Dhaka,Neighbor,Trafficking suspected,Still missing
C0249,2026,6,17,Male,Rajshahi,Stranger,Lured/deceived,Deceased
C0250,2026,12,5,Male,Dhaka,Family friend/acquaintance,Trafficking suspected,Rescued/Recovered
C0251,2026,6,8,Female,Chattogram,Stranger,Taken from public place,Still missing
C0252,2026,6,10,Male,Chattogram,Family friend/acquaintance,Taken from public place,Still missing
C0253,2026,6,15,Male,Sylhet,Stranger,Taken from public place,Rescued/Recovered
C0254,2026,3,6,Male,Dhaka,Family friend/acquaintance,Taken from public place,Still missing
C0255,2025,5,8,Female,Sylhet,Family friend/acquaintance,Ransom abduction,Rescued/Recovered
C0256,2026,4,11,Female,Rajshahi,Stranger,Taken from home,Rescued/Recovered
C0257,2024,2,10,Female,Dhaka,Relative,Taken from public place,Rescued/Recovered
C0258,2026,10,8,Male,Barishal,Relative,Taken from home,Rescued/Recovered
C0259,2026,6,9,Male,Sylhet,Relative,Lured/deceived,Rescued/Recovered
C0260,2024,6,5,Female,Dhaka,Neighbor,Taken from public place,Rescued/Recovered
C0261,2026,6,8,Female,Rangpur,Stranger,Lured/deceived,Rescued/Recovered
C0262,2026,6,8,Female,Chattogram,Neighbor,Lured/deceived,Rescued/Recovered
C0263,2024,7,10,Male,Rajshahi,Neighbor,Lured/deceived,Rescued/Recovered
C0264,2025,11,7,Female,Mymensingh,Neighbor,Lured/deceived,Rescued/Recovered
C0265,2026,11,11,Female,Dhaka,Stranger,Taken from public place,Still missing
C0266,2026,6,12,Male,Barishal,Relative,Taken from public place,Still missing
C0267,2024,5,9,Male,Dhaka,Family friend/acquaintance,Taken from home,Rescued/Recovered
C0268,2025,6,10,Female,Barishal,Stranger,Lured/deceived,Deceased
C0269,2026,6,9,Female,Rajshahi,Neighbor,Taken from home,Rescued/Recovered
C0270,2024,6,9,Male,Dhaka,Stranger,Taken from home,Still missing
C0271,2025,7,7,Male,Chattogram,Relative,Taken from public place,Rescued/Recovered
C0272,2024,6,10,Female,Dhaka,Neighbor,Taken from public place,Still missing
C0273,2024,5,9,Female,Dhaka,Family friend/acquaintance,Taken from home,Deceased
C0274,2025,6,16,Female,Dhaka,Domestic worker/employer,Taken from home,Still missing
C0275,2026,6,14,Female,Dhaka,Neighbor,Trafficking suspected,Rescued/Recovered
C0276,2026,2,10,Male,Dhaka,Family friend/acquaintance,Ransom abduction,Rescued/Recovered
C0277,2026,3,7,Female,Dhaka,Neighbor,Taken from home,Rescued/Recovered
C0278,2025,8,5,Female,Khulna,Family friend/acquaintance,Taken from home,Rescued/Recovered
C0279,2025,6,13,Male,Khulna,Family friend/acquaintance,Lured/deceived,Still missing
C0280,2024,4,10,Male,Khulna,Family friend/acquaintance,Trafficking suspected,Deceased
C0281,2024,6,11,Male,Dhaka,Family friend/acquaintance,Lured/deceived,Rescued/Recovered
C0282,2025,8,3,Female,Rangpur,Neighbor,Lured/deceived,Rescued/Recovered
C0283,2024,5,12,Female,Chattogram,Family friend/acquaintance,Trafficking suspected,Rescued/Recovered
C0284,2024,9,10,Female,Dhaka,Family friend/acquaintance,Taken from public place,Rescued/Recovered
C0285,2024,11,5,Female,Dhaka,Family friend/acquaintance,Lured/deceived,Rescued/Recovered
C0286,2026,6,7,Female,Khulna,Neighbor,Lured/deceived,Rescued/Recovered
C0287,2026,7,10,Female,Dhaka,Relative,Lured/deceived,Still missing
C0288,2026,1,9,Female,Chattogram,Relative,Taken from public place,Rescued/Recovered
C0289,2026,11,8,Male,Mymensingh,Neighbor,Lured/deceived,Rescued/Recovered
C0290,2025,6,9,Male,Dhaka,Neighbor,Trafficking suspected,Rescued/Recovered
C0291,2024,11,8,Female,Dhaka,Relative,Trafficking suspected,Still missing
C0292,2025,6,9,Female,Mymensingh,Stranger,Taken from public place,Still missing
C0293,2024,1,14,Female,Chattogram,Neighbor,Taken from public place,Rescued/Recovered
C0294,2025,1,1,Female,Dhaka,Stranger,Lured/deceived,Rescued/Recovered
C0295,2025,7,8,Female,Rangpur,Family friend/acquaintance,Lured/deceived,Rescued/Recovered
C0296,2025,6,10,Female,Sylhet,Stranger,Taken from public place,Rescued/Recovered
C0297,2025,1,10,Male,Chattogram,Relative,Lured/deceived,Rescued/Recovered
C0298,2026,8,8,Female,Rajshahi,Relative,Lured/deceived,Rescued/Recovered
C0299,2026,10,3,Male,Dhaka,Family friend/acquaintance,Lured/deceived,Deceased
C0300,2026,6,10,Female,Dhaka,Domestic worker/employer,Lured/deceived,Rescued/Recovered
C0301,2026,6,15,Female,Chattogram,Relative,Taken from home,Rescued/Recovered
C0302,2025,1,4,Female,Dhaka,Family friend/acquaintance,Taken from public place,Rescued/Recovered
C0303,2024,9,12,Female,Rajshahi,Family friend/acquaintance,Ransom abduction,Deceased
C0304,2026,6,8,Female,Sylhet,Stranger,Taken from public place,Deceased
C0305,2025,10,9,Male,Dhaka,Neighbor,Ransom abduction,Still missing
C0306,2025,6,6,Female,Chattogram,Relative,Taken from home,Rescued/Recovered
C0307,2025,6,8,Female,Dhaka,Relative,Ransom abduction,Rescued/Recovered
C0308,2026,5,13,Female,Sylhet,Domestic worker/employer,Taken from home,Still missing
C0309,2026,3,11,Female,Dhaka,Relative,Lured/deceived,Still missing
C0310,2025,9,15,Female,Rajshahi,Relative,Trafficking suspected,Rescued/Recovered
C0311,2026,6,13,Female,Chattogram,Domestic worker/employer,Lured/deceived,Rescued/Recovered
C0312,2025,6,10,Male,Dhaka,Relative,Lured/deceived,Rescued/Recovered
C0313,2025,12,15,Female,Rajshahi,Neighbor,Lured/deceived,Still missing
C0314,2025,12,10,Female,Khulna,Neighbor,Taken from home,Still missing
C0315,2025,10,12,Male,Chattogram,Neighbor,Taken from home,Rescued/Recovered
C0316,2026,4,8,Male,Khulna,Neighbor,Taken from public place,Rescued/Recovered
C0317,2024,6,9,Female,Mymensingh,Relative,Ransom abduction,Rescued/Recovered
C0318,2026,10,7,Female,Chattogram,Stranger,Lured/deceived,Rescued/Recovered
C0319,2025,6,12,Female,Chattogram,Stranger,Taken from public place,Rescued/Recovered
C0320,2026,2,5,Female,Dhaka,Neighbor,Taken from home,Still missing
C0321,2026,9,12,Female,Barishal,Family friend/acquaintance,Ransom abduction,Rescued/Recovered
C0322,2026,6,8,Male,Chattogram,Neighbor,Lured/deceived,Rescued/Recovered
C0323,2026,6,13,Female,Chattogram,Domestic worker/employer,Lured/deceived,Rescued/Recovered
C0324,2026,12,11,Male,Dhaka,Neighbor,Taken from home,Rescued/Recovered
C0325,2025,6,15,Female,Sylhet,Family friend/acquaintance,Taken from public place,Rescued/Recovered
C0326,2026,6,11,Male,Dhaka,Relative,Ransom abduction,Rescued/Recovered
C0327,2026,6,4,Male,Rajshahi,Family friend/acquaintance,Taken from public place,Rescued/Recovered
C0328,2024,6,9,Female,Dhaka,Relative,Ransom abduction,Still missing
C0329,2025,2,5,Female,Mymensingh,Stranger,Taken from home,Rescued/Recovered
